exam|choice
"In which two port states does a switch learn MAC addresses and process BPDUs in a PVST network? (Choose two.)"|"forwarding","learning"
"If no bridge priority is configured in PVST, which criteria is considered when electing the root bridge?"|"lowest MAC address"
"When the show spanning-tree vlan 33 command is issued on a switch, three ports are shown in the forwarding state. In which two port roles could these interfaces function while in the forwarding state? (Choose two.)"|"designated","root"
"What is the function of STP in a scalable network?"|"It disables redundant paths to eliminate Layer 2 loops."
"What is a characteristic of spanning tree?"|"It is enabled by default on Cisco switches."
"Which spanning tree standard supports only one root bridge so that traffic from all VLANs flows over the same path?"|"802.1D"
"What is the purpose of the Spanning Tree Protocol (STP)?"|"prevents Layer 2 loops"
"What is the value used to determine which port on a non-root bridge will become a root port in a STP network?"|"the path cost"
"What are two drawbacks to turning spanning tree off and having multiple paths through the Layer 2 switch network? (Choose two.)"|"The MAC address table becomes unstable.","Broadcast frames are transmitted indefinitely."
"A small company network has six interconnected Layer 2 switches. Currently all switches are using the default bridge priority value. Which value can be used to configure the bridge priority of one of the switches to ensure that it becomes the root bridge in this design?"|"28672"
"Which statement is true regarding the use of PAgP to create EtherChannels?"|"It is Cisco proprietary."
"What are two requirements to be able to configure an EtherChannel between two switches? (Choose two.)"|"All the interfaces need to work at the same speed.","All the interfaces need to be working in the same duplex mode."
"Which two parameters must match on the ports of two switches to create a PAgP EtherChannel between the switches? (Choose two.)"|"speed","VLAN information"
"A network administrator is configuring an EtherChannel link between switches SW1 and SW2 by using the command SW1(config-if-range)# channel-group 1 mode auto . Which command must be used on SW2 to enable this EtherChannel?"|"SW2(config-if-range)# channel-group 1 mode desirable"
"Which technology is an open protocol standard that allows switches to automatically bundle physical ports into a single logical link?"|"LACP"
"What is a requirement to configure a trunking EtherChannel between two switches?"|"The allowed range of VLANs must be the same on both switches."
"What are two advantages of using LACP? (Choose two.)"|"It allows directly connected switches to negotiate an EtherChannel link.","It allows the use of multivendor devices."
"A switch is configured to run STP. What term describes a non-root port that is permitted to forward traffic on the network?"|"designated port"
"What are two advantages of EtherChannel? (Choose two.)"|"Spanning Tree Protocol views the physical links in an EtherChannel as one logical connection.","Configuring the EtherChannel interface provides consistency in the configuration of the physical links."
"A set of switches is being connected in a LAN topology. Which STP bridge priority value will make it least likely for the switch to be selected as the root?"|"61440"
"In which two PVST+ port states are MAC addresses learned? (Choose two.)"|"learning","forwarding"
"Which port role is assigned to the switch port that has the lowest cost to reach the root bridge?"|"root port"
"A switch is configured to run STP. What term describes the switch port closest, in terms of overall cost, to the root bridge"|"root port"
"A switch is configured to run STP. What term describes a field used to specify a VLAN ID?"|"extended system ID"
"A switch is configured to run STP. What term describes the reference point for all path calculations?"|"root bridge"
"A switch is configured to run STP. What term describes a field that has a default value of 32,768 and is the initial deciding factor when electing a root bridge?"|"bridge priority"
"Which statement describes an EtherChannel implementation?"|"A trunked port can be part of an EtherChannel bundle."
"Which statement describes a characteristic of EtherChannel?"|"It is made by combining multiple physical links that are seen as one link between two switches."
"Which two channel group modes would place an interface in a negotiating state using PAgP? (Choose two.)"|"desirable","auto"
"Which mode configuration setting would allow formation of an EtherChannel link between switches SW1 and SW2 without sending negotiation traffic?"|"SW1: on SW2: on"
"When EtherChannel is configured, which mode will force an interface into a port channel without exchanging aggregation protocol packets?"|"on"
"What are two load-balancing methods in the EtherChannel technology? (Choose two.)"|"source IP to destination IP","source MAC to destination MAC"
"Which protocol provides up to 16 instances of RSTP, combines many VLANs with the same physical and logical topology into a common RSTP instance, and provides support for PortFast, BPDU guard, BPDU filter, root guard, and loop guard?"|"MST"
"What is the outcome of a Layer 2 broadcast storm?"|"New traffic is discarded by the switch because it is unable to be processed."
"Which two network design features require Spanning Tree Protocol (STP) to ensure correct network operation? (Choose two.)"|"redundant links between Layer 2 switches","removing single points of failure with multiple Layer 2 switches"
"A network administrator has configured an EtherChannel between two switches that are connected via four trunk links. If the physical interface for one of the trunk links changes to a down state, what happens to the EtherChannel?"|"The EtherChannel will remain functional."
"A DHCP-enabled client PC has just booted. During which two steps will the client PC use broadcast messages when communicating with a DHCP server? (Choose two.)"|"DHCPDISCOVER","DHCPREQUEST"
"An administrator issues the commands:<prompt>Router(config)# interface g0/1</br>Router(config-if)# ip address dhcp</br>What is the administrator trying to achieve?</prompt>"|"configuring the router to obtain IP parameters from a DHCPv4 server"
"When a client is requesting an initial address lease from a DHCP server, why is the DHCPREQUEST message sent as a broadcast?"|"The client may have received offers from multiple servers, and the broadcast serves to implicitly decline those other offers."
"Which DHCP IPv4 message contains the following information? Destination address: 255.255.255.255 Client IPv4 address: 0.0.0.0 Default gateway address: 0.0.0.0 Subnet mask: 0.0.0.0"|"DHCPDISCOVER"
"Which protocol automates assignment of IP addresses on a network, and which port number does it use? (Choose two.)"|"DHCP","67"
"Which message does an IPv4 host use to reply when it receives a DHCPOFFER message from a DHCP server?"|"DHCPREQUEST"
"Which command, when issued in the interface configuration mode of a router, enables the interface to acquire an IPv4 address automatically from an ISP, when that link to the ISP is enabled?"|"ip address dhcp"
"Which kind of message is sent by a DHCP client when its IP address lease has expired?"|"a DHCPREQUEST unicast message"
"A host PC is attempting to lease an address through DHCP. What message is sent by the server to let the client know it is able to use the provided IP information?"|"DHCPACK"
"What is one indication that a Windows computer did not receive an IPv4 address from a DHCP server?"|"The computer receives an IP address that starts with 169.254."
"Which DHCPv4 message will a client send to accept an IPv4 address that is offered by a DHCP server?"|"broadcast DHCPREQUEST"
"A small coffee shop is offering free Wi-Fi to customers. The network includes a wireless router and a DSL modem that is connected to the local phone company. What method is typically used to configure the connection to the phone company?"|"Set the WAN connection in the wireless router as a DHCP client."
"A company uses DHCP to manage IP address deployment for employee workstations. The IT department deploys multiple DHCP servers in the data center and uses DHCP relay agents to facilitate the DHCP requests from workstations. Which two UDP ports are used to forward DHCP traffic? (Choose two.)"|"67","68"
"A client device on an Ethernet segment needs an IP address in order to communicate on the network. A DHCP server with IP address 192.168.1.1 has been configured and enabled on the network. How will a client device obtain a usable IP address for this network?"|"Send a DHCPDISCOVER message to physical address FF-FF-FF-FF-FF-FF."
"What is an advantage of configuring a Cisco router as a relay agent?"|"It can provide relay services for multiple UDP services."
"Which statement is true about DHCP operation?"|"When a device that is configured to use DHCP boots, the client broadcasts a DHCPDISCOVER message to identify any available DHCP servers on the network."
"A network administrator configures a router to send RA messages with M flag as 0 and O flag as 1. Which statement describes the effect of this configuration when a PC tries to configure its IPv6 address?"|"It should use the information that is contained in the RA message and contact a DHCPv6 server for additional information."
"A company uses the SLAAC method to configure IPv6 addresses for the employee workstations. Which address will a client use as its default gateway?"|"the link-local address of the router interface that is attached to the network"
"A network administrator is analyzing the features that are supported by different first-hop router redundancy protocols. Which statement describes a feature that is associated with HSRP?"|"HSRP uses active and standby routers."
"Which FHRP implementation is a Cisco-proprietary protocol that suppports IPv4 load sharing?"|"GLBP"
"The address pool of a DHCP server is configured with 10.92.71.0/25. The network administrator reserves 8 IP addresses for servers. How many IP addresses are left in the pool to be assigned to other hosts?"|"118"
"After a host has generated an IPv6 address by using the DHCPv6 or SLAAC process, how does the host verify that the address is unique and therefore usable?"|"The host sends an ICMPv6 neighbor solicitation message to the DHCP or SLAAC-learned address and if no neighbor advertisement is returned, the address is considered unique."
"Which statement describes HSRP?"|"It is used within a group of routers for selecting an active device and a standby device to provide gateway services to a LAN."
"The address pool of a DHCP server is configured with 192.168.234.0/27. The network administrator reserves 22 IP addresses for IP phones. How many IP addresses are left in the pool to be assigned to other hosts?"|"8"
"A company uses DHCP servers to dynamically assign IPv4 addresses to employee workstations. The address lease duration is set as 5 days. An employee returns to the office after an absence of one week. When the employee boots the workstation, it sends a message to obtain an IP address. Which Layer 2 and Layer 3 destination addresses will the message contain?"|"FF-FF-FF-FF-FF-FF and 255.255.255.255"
"Which command will allow a network administrator to check the IP address that is assigned to a particular MAC address?"|"Router# show ip dhcp binding"
"What is the reason that an ISP commonly assigns a DHCP address to a wireless router in a SOHO environment?"|"easy IP address management"
"What information can be verified through the show ip dhcp binding command?"|"the IPv4 addresses that are assigned to hosts by the DHCP server"
"What is the result of a network technician issuing the command ip dhcp excluded-address 10.0.15.1 10.0.15.15 on a Cisco router?"|"The Cisco router will exclude 15 IP addresses from being leased to DHCP clients."
"Which FHRP implementation is a Cisco-proprietary protocol that suppports IPv6 load balancing?"|"GLBP for IPv6"
"Which set of commands will configure a router as a DHCP server that will assign IPv4 addresses to the 192.168.100.0/23 LAN while reserving the first 10 and the last addresses for static assignment?"|"ip dhcp excluded-address 192.168.100.1 192.168.100.10 ip dhcp excluded-address 192.168.101.254 ip dhcp pool LAN-POOL-100 network 192.168.100.0 255.255.254.0 default-router 192.168.100.1"
"What is a result when the DHCP servers are not operational in a network?"|"Workstations are assigned with IP addresses in the 169.254.0.0/16 network."
"A company uses the method SLAAC to configure IPv6 addresses for the workstations of the employees. A network administrator configured the IPv6 address on the LAN interface of the router. The interface status is UP. However, the workstations on the LAN segment did not obtain the correct prefix and prefix length. What else should be configured on the router that is attached to the LAN segment for the workstations to obtain the information?"|"R1(config)# ipv6 unicast-routing"
"Which FHRP implementation is a nonproprietary protocol which relies on ICMP to provide IPv4 redundancy?"|"IRDP"
"Which Layer 2 attack will result in legitimate users not getting valid IP addresses?"|"DHCP starvation"
"What mitigation plan is best for thwarting a DoS attack that is creating a MAC address table overflow?"|"Enable port security."
"Which three Cisco products focus on endpoint security solutions? (Choose three.)"|"Web Security Appliance","Email Security Appliance","NAC Appliance"
"True or False? In the 802.1X standard, the client attempting to access the network is referred to as the supplicant."|"true"
"Which authentication method stores usernames and passwords in the router and is ideal for small networks?"|"local AAA"
"What represents a best practice concerning discovery protocols such as CDP and LLDP on network devices?"|"Disable both protocols on all interfaces where they are not required."
"Which protocol should be used to mitigate the vulnerability of using Telnet to remotely manage network devices?"|"SSH"
"Which statement describes the behavior of a switch when the MAC address table is full?"|"It treats frames as unknown unicast and floods all incoming frames to all ports within the local VLAN."
"What device is considered a supplicant during the 802.1X authentication process?"|"the client that is requesting authentication"
"Which type of VLAN-hopping attack may be prevented by designating an unused VLAN as the native VLAN?"|"VLAN double-tagging"
"A network administrator is configuring DAI on a switch with the command ip arp inspection validate src-mac. What is the purpose of this configuration command?"|"It checks the source MAC address in the Ethernet header against the sender MAC address in the ARP body."
"Which two commands can be used to enable BPDU guard on a switch? (Choose two.)"|"S1(config)# spanning-tree portfast bpduguard default","S1(config-if)# spanning-tree bpduguard enable"
"As part of the new security policy, all switches on the network are configured to automatically learn MAC addresses for each port. All running configurations are saved at the start and close of every business day. A severe thunderstorm causes an extended power outage several hours after the close of business. When the switches are brought back online, the dynamically learned MAC addresses are retained. Which port security configuration enabled this?"|"sticky secure MAC addresses"
"Which type of management frame may regularly be broadcast by an AP?"|"beacon"
"What are the two methods that are used by a wireless NIC to discover an AP? (Choose two.)"|"receiving a broadcast beacon frame","transmitting a probe request"
"A technician is configuring the channel on a wireless router to either 1, 6, or 11. What is the purpose of adjusting the channel?"|"to avoid interference from nearby wireless devices"
"While attending a conference, participants are using laptops for network connectivity. When a guest speaker attempts to connect to the network, the laptop fails to display any available wireless networks. The access point must be operating in which mode?"|"active"
"A network administrator is required to upgrade wireless access to end users in a building. To provide data rates up to 1.3 Gb/s and still be backward compatible with older devices, which wireless standard should be implemented?"|"802.11ac"
"A technician is about to install and configure a wireless network at a small branch office. What is the first security measure the technician should apply immediately upon powering up the wireless router?"|"Change the default user-name and password of the wireless router."
"Which step is required before creating a new WLAN on a Cisco 3500 series WLC?"|"Create a new VLAN interface."
"A network engineer is troubleshooting a newly deployed wireless network that is using the latest 802.11 standards. When users access high bandwidth services such as streaming video, the wireless network performance is poor. To improve performance the network engineer decides to configure a 5 Ghz frequency band SSID and train users to use that SSID for streaming media services. Why might this solution improve the wireless network performance for that type of service?"|"The 5 GHz band has more channels and is less crowded than the 2.4 GHz band, which makes it more suited to streaming multimedia."
"A network administrator is configuring a RADIUS server connection on a Cisco 3500 series WLC. The configuration requires a shared secret password. What is the purpose for the shared secret password?"|"It is used to encrypt the messages between the WLC and the RADIUS server."
"Which three parameters would need to be changed if best practices are being implemented for a home wireless AP? (Choose three.)"|"wireless network password","AP password","SSID"
"Which access control component, implementation, or protocol is based upon usernames and passwords?"|"authentication"
"Which type of wireless network is based on the 802.11 standard and a 2.4-GHz or 5-GHz radio frequency?"|"wireless local-area network"
"Which two Cisco solutions help prevent DHCP starvation attacks? (Choose two.)"|"DHCP Snooping","Port Security"
"What are three techniques for mitigating VLAN attacks? (Choose three.)"|"Enable trunking manually.","Disable DTP.","Set the native VLAN to an unused VLAN."
"A network administrator of a college is configuring the WLAN user authentication process. Wireless users are required to enter username and password credentials that will be verified by a server. Which server would provide such service?"|"RADIUS"
"A technician is troubleshooting a slow WLAN that consists of 802.11b and 802.11g devices . A new 802.11n/ac dual-band router has been deployed on the network to replace the old 802.11g router. What can the technician do to address the slow wireless speed?"|"Split the wireless traffic between the 802.11n 2.4 GHz band and the 5 GHz band."
"The company handbook states that employees cannot have microwave ovens in their offices. Instead, all employees must use the microwave ovens located in the employee cafeteria. What wireless security risk is the company trying to avoid?"|"accidental interference"
"What is the function provided by CAPWAP protocol in a corporate wireless network?"|"CAPWAP provides the encapsulation and forwarding of wireless user traffic between an access point and a wireless LAN controller."
"What are two protocols that are used by AAA to authenticate users against a central database of usernames and password? (Choose two.)"|"TACACS+","RADIUS"
"What is the result of a DHCP starvation attack?"|"Legitimate clients are unable to lease IP addresses."
"Which feature or configuration on a switch makes it vulnerable to VLAN double-tagging attacks?"|"the native VLAN of the trunking port being the same as a user VLAN"
"Which component of AAA allows an administrator to track individuals who access network resources and any changes that are made to those resources?"|"accounting"
"An IT security specialist enables port security on a switch port of a Cisco switch. What is the default violation mode in use until the switch port is configured to use a different violation mode?"|"shutdown"
"A laptop cannot connect to a wireless access point. Which two troubleshooting steps should be taken first? (Choose two.)"|"Ensure that the wireless NIC is enabled.","Ensure that the wireless SSID is chosen."
"What is an advantage of SSID cloaking?"|"Clients will have to manually identify the SSID to connect to the network."
"What is a wireless security mode that requires a RADIUS server to authenticate wireless users? personal"|"enterprise"
"A company has recently implemented an 802.11n wireless network. Some users are complaining that the wireless network is too slow. Which solution is the best method to enhance the performance of the wireless network?"|"Split the traffic between the 2.4 GHz and 5 GHz frequency bands."
"Which protocol can be used to monitor the network?"|"SNMP"
"A network administrator deploys a wireless router in a small law firm. Employee laptops join the WLAN and receive IP addresses in the 10.0.10.0/24 network. Which service is used on the wireless router to allow the employee laptops to access the internet?"|"NAT"
"Which service can be used on a wireless router to prioritize network traffic among different types of applications so that voice and video data are prioritized over email and web data?"|"QoS"
"Which access control component, implementation, or protocol is based on device roles of supplicant, authenticator, and authentication server?"|"802.1X"
"Which type of wireless network is suitable for national and global communications?"|"wireless wide-area network"
"Which feature on a switch makes it vulnerable to VLAN hopping attacks?"|"the automatic trunking port feature enabled for all ports by default"
"Which component of AAA is used to determine which resources a user can access and which operations the user is allowed to perform?"|"authorization"
"A network administrator enters the following commands on the switch SW1.<prompt>SW1(config)# interface range fa0/5 - 10</br>SW1(config-if)# ip dhcp snooping limit rate 6</br>What is the effect after these commands are entered?</prompt>"|"FastEthernet ports 5 through 10 can receive up to 6 DHCP discovery messages per second."
"A network administrator is configuring port security on a Cisco switch. The company security policy specifies that when a violation occurs, packets with unknown source addresses should be dropped and no notification should be sent. Which violation mode should be configured on the interfaces?"|"protect"
"A network administrator is working to improve WLAN performance on a dual-band wireless router. What is a simple way to achieve a split-the-traffic result?"|"Make sure that different SSIDs are used for the 2.4 GHz and 5 GHz bands."
"Which access control component, implementation, or protocol controls what users can do on the network?"|"authorization"
"Which type of wireless network is suitable for providing wireless access to a city or district?"|"wireless metropolitan-area network"
"What type of wireless antenna is best suited for providing coverage in large open spaces, such as hallways or large conference rooms?"|"omnidirectional"
"What two IEEE 802.11 wireless standards operate only in the 5 GHz range? (Choose two.)"|"802.11ac","802.11a"
"What security benefit is gained from enabling BPDU guard on PortFast enabled interfaces?"|"preventing rogue switches from being added to the network"
"Which access control component, implementation, or protocol logs EXEC and configuration commands configured by a user?"|"accounting"
"Which type of wireless network uses transmitters to provide coverage over an extensive geographic area?"|"wireless wide-area network"
"Which access control component, implementation, or protocol controls who is permitted to access a network?"|"authentication"
"What two IEEE 802.11 wireless standards operate only in the 5 GHz range? (Choose two.)"|"802.11ac","802.11a"
"Which feature on a Cisco router permits the forwarding of traffic for which there is no specific route?"|"gateway of last resort"
"Which three advantages are provided by static routing? (Choose three.)"|"Static routing does not advertise over the network, thus providing better security.","Static routing typically uses less network bandwidth and fewer CPU operations than dynamic routing does.","The path a static route uses to send data is known."
"What are two functions of dynamic routing protocols? (Choose two.)"|"to maintain routing tables","to discover the network"
"What is an advantage of using dynamic routing protocols instead of static routing?"|"ability to actively search for new routes if the current path becomes unavailable"
"What happens to a static route entry in a routing table when the outgoing interface associated with that route goes into the down state?"|"The static route is removed from the routing table."
"What is a characteristic of a static route that matches all packets?"|"It identifies the gateway IP address to which the router sends all IP packets for which it does not have a learned or static route."
"When would it be more beneficial to use a dynamic routing protocol instead of static routing?"|"on a network where there is a lot of topology changes"
"Which route would be used to forward a packet with a source IP address of 192.168.10.1 and a destination IP address of 10.1.1.1?"|"O 10.1.1.0/24 [110/65] via 192.168.200.2, 00:01:20, Serial0/1/0"
"Which value in a routing table represents trustworthiness and is used by the router to determine which route to install into the routing table when there are multiple routes toward the same destination?"|"administrative distance"
"A network administrator configures the interface fa0/0 on the router R1 with the command ip address 172.16.1.254 255.255.255.0. However, when the administrator issues the command show ip route, the routing table does not show the directly connected network. What is the possible cause of the problem?"|"The interface fa0/0 has not been activated."
"What is a characteristic of a floating static route?"|"It is configured with a higher administrative distance than the original dynamic routing protocol has."
"What network prefix and prefix-length combination is used to create a default static route that will match any IPv6 destination?"|"::/0"
"Consider the following command:<prompt>ip route 192.168.10.0 255.255.255.0 10.10.10.2 5</br>What does the 5 at the end of the command signify?</prompt>"|"administrative distance"
"An administrator issues the ipv6 route 2001:db8:acad:1::/32 gigabitethernet0/0 2001:db8:acad:6::1 100 command on a router. What administrative distance is assigned to this route?"|"100"
"What characteristic completes the following statement? When an IPv6 static route is configured, the next-hop address can be ……"|"an IPv6 link-local address on the adjacent router."
"Gateway of last resort is not set.<prompt>172.19.115.0/26 is variously subnetted, 7 subnets, 3 masks</br>O 172.19.115.0/26 [110/10] via 172.19.39.1, 00:00:24, Serial0/0/0</br>O 172.19.115.64/26 [110/20] via 172.19.39.6, 00:00:56, Serial 0/0/1</br>O 172.19.115.128/26 [110/10] via 172.19.39.1, 00:00:24, Serial 0/0/0</br>C 172.19.115.192/27 is directly connected, GigabitEthernet0/0</br>L 172.19.115.193/27 is directly connected, GigabitEthernet0/0</br>C 172.19.115.224/27 is directly connected, GigabitEthernet0/1</br>L 172.19.115.225/27 is directly connected, GigabitEthernet0/1</br>172.19.39.0/24 is variably subnetted, 4 subnets, 2 masks</br>C 172.19.39.0/30 is directly connected, Serial0/0/0</br>L 172.19.39.2/32 is directly connected, Serial0/0/0</br>C 172.19.39.4/30 is directly connected, Serial0/0/1</br>L 172.19.39.5/32 is directly connected, Serial0/0/1</br>S 172.19.40.0/26 [1/0] via 172.19.39.1, 00:00:24, Serial0/0/0</br>R1#</br>Refer to the exhibit. Which interface will be the exit interface to forward a data packet that has the destination IP address 172.19.115.206?</prompt>"|"GigabitEthernet0/0"
"What two pieces of information are needed in a fully specified static route to eliminate recursive lookups? (Choose two.)"|"the interface ID exit interface","the IP address of the next-hop neighbor"
"What route would have the lowest administrative distance?"|"a directly connected network"
"A network administrator configures the interface fa0/0 on the router R1 with the command ip address 172.16.1.254 255.255.255.0. However, when the administrator issues the command show ip route, the routing table does not show the directly connected network. What is the possible cause of the problem?"|"The interface fa0/0 has not been activated."
"A router has used the OSPF protocol to learn a route to the 172.16.32.0/19 network. Which command will implement a backup floating static route to this network?"|"ip route 172.16.32.0 255.255.224.0 S0/0/0 200"
"Consider the following command:<prompt>ip route 192.168.10.0 255.255.255.0 10.10.10.2 5</br>How would an administrator test this configuration?</prompt>"|"Manually shut down the router interface used as a primary route."
"What characteristic completes the following statement? When an IPv6 static route is configured, it is first necessary to configure ……"|"the “ipv6 unicast-routing” command."
"Gateway of last resort is not set.<prompt>172.18.109.0/26 is variously subnetted, 7 subnets, 3 masks</br>O 172.18.109.0/26 [110/10] via 172.18.32.1, 00:00:24, Serial0/0/0</br>O 172.18.109.64/26 [110/20] via 172.18.32.6, 00:00:56, Serial 0/0/1</br>O 172.18.109.128/26 [110/10] via 172.18.32.1, 00:00:24, Serial 0/0/0</br>C 172.18.109.192/27 is directly connected, GigabitEthernet0/0</br>L 172.18.109.193/27 is directly connected, GigabitEthernet0/0</br>C 172.18.109.224/27 is directly connected, GigabitEthernet0/1</br>L 172.18.109.225/27 is directly connected, GigabitEthernet0/1</br>172.18.32.0/24 is variably subnetted, 4 subnets, 2 masks</br>C 172.18.32.0/30 is directly connected, Serial0/0/0</br>L 172.18.32.2/32 is directly connected, Serial0/0/0</br>C 172.18.32.4/30 is directly connected, Serial0/0/1</br>L 172.18.32.5/32 is directly connected, Serial0/0/1</br>S 172.18.33.0/26 [1/0] via 172.18.32.1, 00:00:24, Serial0/0/0</br>R1#</br>Refer to the exhibit. Which interface will be the exit interface to forward a data packet that has the destination IP address 172.18.109.152?</prompt>"|"Serial0/0/0"
"What is a function of OSPF hello packets?"|"to discover neighbors and build adjacencies between them"
"Which OPSF packet contains the different types of link-state advertisements?"|"LSU"
"Which three statements describe features of the OSPF topology table? (Choose three.)"|"It is a link-state database that represents the network topology.","When converged, all routers in an area have identical topology tables.","The table can be viewed via the show ip ospf database command."
"What does an OSPF area contain?"|"routers that have the same link-state information in their LSDBs"
"What is used to facilitate hierarchical routing in OSPF?"|"the use of multiple areas"
"Which OSPF data structure is identical on all OSPF routers that share the same area?"|"link-state database"
"Which step does an OSPF-enabled router take immediately after establishing an adjacency with another router?"|"exchanges link-state advertisements"
"A network engineer has manually configured the hello interval to 15 seconds on an interface of a router that is running OSPFv2. By default, how will the dead interval on the interface be affected?"|"The dead interval will now be 60 seconds."
"To establish a neighbor adjacency two OSPF routers will exchange hello packets. Which two values in the hello packets must match on both routers? (Choose two.)"|"dead interval","hello interval"
"What is the default router priority value for all Cisco OSPF routers?"|"1"
"Which type of OSPFv2 packet contains an abbreviated list of the LSDB of a sending router and is used by receiving routers to check against the local LSDB?"|"database description"
"In an OSPF network when are DR and BDR elections required?"|"when the routers are interconnected over a common Ethernet network"
"When an OSPF network is converged and no network topology change has been detected by a router, how often will LSU packets be sent to neighboring routers?"|"every 30 minutes"
"What will an OSPF router prefer to use first as a router ID?"|"any IP address that is configured using the router-id command"
"What are the two purposes of an OSPF router ID? (Choose two.)"|"to uniquely identify the router within the OSPF domain","to facilitate router participation in the election of the designated router"
"A network technician issues the following commands when configuring a router:<prompt>R1(config)# router ospf 11</br>R1(config-router)# network 10.10.10.0 0.0.0.255 area 0</br>What does the number 11 represent?</prompt>"|"the OSPF process ID on R1"
"An OSPF router has three directly connected networks; 172.16.0.0/16, 172.16.1.0/16, and 172.16.2.0/16. Which OSPF network command would advertise only the 172.16.1.0 network to neighbors?"|"router(config-router)# network 172.16.1.0 255.255.255.0 area 0"
"By default, what is the OSPF cost for any link with a bandwidth of 100 Mb/s or greater?"|"1"
"What command would be used to determine if a routing protocol-initiated relationship had been made with an adjacent router?"|"show ip ospf neighbor"
"Which command is used to verify that OSPF is enabled and also provides a list of the networks that are being advertised by the network?"|"show ip protocols"
"What is the recommended Cisco best practice for configuring an OSPF-enabled router so that each router can be easily identified when troubleshooting routing issues?"|"Configure a value using the router-id command."
"Which step in the link-state routing process is described by a router running an algorithm to determine the best path to each destination?"|"executing the SPF algorithm"
"An administrator is configuring single-area OSPF on a router. One of the networks that must be advertised is 192.168.223.0 255.255.254.0. What wildcard mask would the administrator use in the OSPF network statement?"|"0.0.1.255"
"What is the format of the router ID on an OSPF-enabled router?"|"a 32-bit number formatted like an IPv4 address"
"After modifying the router ID on an OSPF router, what is the preferred method to make the new router ID effective?"|"HQ# clear ip ospf process"
"In an OSPFv2 configuration, what is the effect of entering the command network 192.168.1.1 0.0.0.0 area 0?"|"It tells the router which interface to turn on for the OSPF routing process."
"What is the reason for a network engineer to alter the default reference bandwidth parameter when configuring OSPF?"|"to more accurately reflect the cost of links greater than 100 Mb/s"
"What is a benefit of multiarea OSPF routing?"|"Topology changes in one area do not cause SPF recalculations in other areas."
"What indicates to a link-state router that a neighbor is unreachable?"|"if the router no longer receives hello packets"
"Which three OSPF states are involved when two routers are forming an adjacency? (Choose three.)"|"Init","Two-way","Down"
"An administrator is configuring single-area OSPF on a router. One of the networks that must be advertised is 64.102.0.0 255.255.255.128. What wildcard mask would the administrator use in the OSPF network statement?"|"0.0.0.127"
"Which command will a network engineer issue to verify the configured hello and dead timer intervals on a point-to-point WAN link between two routers that are running OSPFv2?"|"show ip ospf interface serial 0/0/0"
"Which step in the link-state routing process is described by a router building a link-state database based on received LSAs?"|"building the topology table"
"The IT department is reporting that a company web server is receiving an abnormally high number of web page requests from different locations simultaneously. Which type of security attack is occurring?"|"DDoS"
"What causes a buffer overflow?"|"attempting to write more data to a memory location than that location can hold"
"Which objective of secure communications is achieved by encrypting data?"|"confidentiality"
"What type of malware has the primary objective of spreading across the network?"|"worm"
"What commonly motivates cybercriminals to attack networks as compared to hactivists or state-sponsored hackers?"|"financial gain"
"Which type of hacker is motivated to protest against political and social issues?"|"hacktivist"
"What is a ping sweep?"|"a network scanning technique that indicates the live hosts in a range of IP addresses."
"In what type of attack is a cybercriminal attempting to prevent legitimate users from accessing network services?"|"DoS"
"Which requirement of secure communications is ensured by the implementation of MD5 or SHA hash generating algorithms?"|"integrity"
"If an asymmetric algorithm uses a public key to encrypt data, what is used to decrypt it?"|"a private key"
"Which two packet filters could a network administrator use on an IPv4 extended ACL? (Choose two.)"|"destination UDP port number","ICMP message type"
"What type of ACL offers greater flexibility and control over network access?"|"extended"
"What is the quickest way to remove a single ACE from a named ACL?"|"Use the no keyword and the sequence number of the ACE to be removed."
"A network administrator needs to configure a standard ACL so that only the workstation of the administrator with the IP address 192.168.15.23 can access the virtual terminal of the main router. Which two configuration commands can achieve the task? (Choose two.)"|"Router1(config)# access-list 10 permit 192.168.15.23 0.0.0.0","Router1(config)# access-list 10 permit host 192.168.15.23"
"A network administrator is writing a standard ACL that will deny any traffic from the 172.16.0.0/16 network, but permit all other traffic. Which two commands should be used? (Choose two.)"|"Router(config)# access-list 95 permit any","Router(config)# access-list 95 deny 172.16.0.0 0.0.255.255"
"Consider the following access list.<prompt>access-list 100 permit ip host 192.168.10.1 any</br>access-list 100 deny icmp 192.168.10.0 0.0.0.255 any echo</br>access-list 100 permit ip any any</br>Which two actions are taken if the access list is placed inbound on a router Gigabit Ethernet port that has the IP address 192.168.10.254 assigned? (Choose two.)</prompt>"|"Devices on the 192.168.10.0/24 network can sucessfully ping devices on the 192.168.11.0 network.","A Telnet or SSH session is allowed from any device on the 192.168.10.0 into the router with this access list assigned."
"In which TCP attack is the cybercriminal attempting to overwhelm a target host with half-open TCP connections?"|"SYN flood attack"
"Which protocol is attacked when a cybercriminal provides an invalid gateway in order to create a man-in-the-middle attack?"|"DHCP"
"Which statement describes a characteristic of standard IPv4 ACLs?"|"They filter traffic based on source IP addresses only."
"What is considered a best practice when configuring ACLs on vty lines?"|"Place identical restrictions on all vty lines."
